timestamp,open,high,low,close,volume,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,MAMA-FAMA,MAMA-MAMA,T3,MACD-MACD,MACD-MACD_Hist,MACD-MACD_Signal,MACDEXT-MACD,MACDEXT-MACD_Hist,MACDEXT-MACD_Signal,SlowD,SlowK,STOCHF-FastD,STOCKF-FastK,RSI,STOCHRSI-FastD,STOCHRSI-FastK,WILLR,ADX,ADXR,APO,PPO
11/30/2018,36304.4297,36389.2188,36082.9688,36194.3008,23300,35600.2137,35626.1063,35688.0792,35939.9651,36045.0672,35488.1156,35413.5281,32358.967,35330.8608,35547.6043,188.5727,133.052,55.5207,535.907,41.5225,494.3845,81.9891,89.8132,89.8132,86.9458,68.7552,100,100,-13.0542,18.9468,19.0408,535.907,1.531
11/29/2018,35997.2891,36253.8516,35946.2383,36170.4102,40500,35484.3457,35475.3678,35538.973,35708.2344,35755.7004,35453.6277,35283.2561,32344.0328,35321.0268,35481.7709,127.9984,105.7407,22.2577,505.4852,31.3041,474.1811,66.3145,85.4471,85.4471,93.8546,64.6462,80.2607,100,-6.1454,16.8818,18.0749,505.4852,1.4478
11/28/2018,35635.5195,35822.1602,35605.3398,35716.9492,27500,35417.6309,35359.3853,35433.5806,35528.0176,35521.7972,35447.7939,35238.7724,32329.073,35314.1959,35431.2736,80.0943,84.2717,-4.1774,496.6389,48.402,448.2369,45.2635,70.7071,70.7071,88.6392,58.9192,46.9273,100,-11.3608,15.0797,17.6229,496.6389,1.4246
11/27/2018,35394.7695,35555.1602,35262.9688,35513.1406,19100,35338.698,35298.0221,35379.6131,35442.7651,35411.2731,35429.2964,35209.0663,32314.0724,35310.9502,35385.2966,54.6209,79.8662,-25.2454,506.4294,94.7961,411.6333,30.1235,42.7894,42.7894,73.8474,54.5052,13.594,40.782,-26.6597,14.9778,18.2013,506.4294,1.4544
11/26/2018,35118.0898,35397.2383,34896.0703,35354.0781,19200,35327.9699,35276.5227,35367.4677,35431.9313,35404.1068,35395.6194,35207.5662,32299.0127,35310.1035,35331.0771,45.8258,91.0377,-45.2119,492.9727,132.4216,360.5511,34.4318,22.294,22.294,49.6347,48.817,12.1071,0,-40.5319,16.4131,20.0469,492.9727,1.4155
11/22/2018,35282.3281,35364.5,34937.9805,34981.0195,13800,35341.9738,35311.73,35408.1739,35536.8812,35572.616,35348.8284,35208.4811,32283.8816,35312.043,35259.1641,62.1045,130.0759,-67.9713,493.8606,196.9454,296.9152,54.1815,25.2872,25.2872,4.8861,52.3112,45.4404,0,-73.0671,17.4114,21.5697,493.8606,1.4182
11/21/2018,35492.6211,35494.25,35112.4883,35199.8008,13900,35343.9289,35318.2638,35419.374,35599.9823,35700.2255,35297.888,35208.1192,32268.6647,35312.3432,35164.2975,65.2563,165.7466,-100.4903,492.1606,274.6363,217.5243,75.3782,55.7142,55.7142,12.3613,57.0139,78.7738,36.3213,-53.9867,18.7642,22.6566,492.1606,1.4138
11/20/2018,35730.7695,35731.6719,35416.1797,35474.5117,15700,35302.2906,35279.5177,35384.7685,35585.0943,35731.4717,35243.0368,35198.9317,32253.3699,35310.5222,35053.9565,46.9184,188.8453,-141.927,475.952,354.2151,121.7369,83.4272,81.5432,81.5432,58.6143,62.7648,97.896,100,-30.0286,20.4051,23.3954,475.952,1.3691
11/19/2018,35647.6211,35818.8281,35511.1016,35774.8789,15600,35241.0758,35179.2395,35295.7332,35452.4438,35598.9773,35202.6827,35164.7985,32238.0073,35306.2773,34937.5013,-1.4178,187.7205,-189.1383,450.0537,432.8927,17.161,80.8222,88.8773,88.8773,96.1671,61.5459,80.918,100,-3.8329,20.148,23.3665,450.0537,1.297
11/16/2018,35398.6992,35545.8516,35324.3711,35457.1602,21100,35150.7086,35075.1547,35205.3855,35304.9863,35440.7101,35173.6965,35117.6305,32222.5889,35302.8294,34822.0952,-54.6258,181.4426,-236.0684,354.0765,450.268,-96.1915,67.8982,79.8613,79.8613,89.8482,57.8264,75.9188,93.6881,-9.898,19.1348,23.0973,354.0765,1.0217
